callid,content,label,category
2026062714155327678951,left:唉，你好，我这边是阿姨花的客服，想问一下，目前需要一笔资金周转，对吧？喂，呃，您现在需要多少资金周转呢？多少呢？您声音大一点呢？五万吗？啊，方便问一下女士目前的一个年龄多大呢？因为满足两个条件就可以下款的啊，五十多啊。行，你有没有其他平台逾期呢？啊，那是符合我们要求的，我们的利率呢是四年，像你五万呢，一个月利息是两百块钱，你看这个利息能不能接受呢？那你把你家里的分给我吧。行，唉，你好，女士啊，能接受的话，我们现在分期是三到六十期。您看您想分多少期呢？你看啊，我们这边需要人工审核，人工审核通过之后，直接给你转到银行卡里边，然后您提现就行，这个很方便的，大概两个小时就可以下款。你看我先给你登记六十期可以吧啊，六十期就是五年时间嘛。喂，你好，等下，你看您需要多少期嘛？我们现在总工退您办理，只要符合两个月啊，可以的两年时间啊。因为我们现在转到人工审核呢，需需要添添加咱们审核人员的一个微信。您打开微信，我提到您添加一下可以吗？嗯，好，打扰了再见。嗯，好好行行行。,涉诈,引导贷款用户添加第三方微信
2026062515235480454842,left:喂，你好，请问您这边是*先生吗？你好，哥，我们这边是平台的，您申请的贷款额度通过了，是你本人申请的吗？那哥，咱们来人主要是核实几个问题，没问题，就给您安排下款了，全程办理下来不收任何费用。您今年是四十三岁，在*是吧？您当前有没有逾期啊？哥，您之前有过逾期吗？我的没有过是吧？那您的花呗和京东白条有没有开通正常使用都在用是吧？好的，哥，那您这边支付宝芝麻信用分有多少分呢？那您这边资料是挺好的呀，哥是完全符合平台办理条件的。您这边只需要提供一下芝麻信用分六百分以上的截图发给我，给您上传系统就可以办理了。哥，然后我们这边给您申请的初始额度是三万，您看够您周转吗？您需要多少呢？好的，哥，那我给您申请一万，那您这个手机尾号*能加到您的微吗？我的公司的企业微信添加您，然后您的微信名叫做*是吧？哥，我我添加您论，您看一下微信的聊天页面，有没有收收到一个黄色的服务通知，我叫*，哥，有收到没？企业微信加您的，您点进去查，按扫描二维码就能通过了。*，辛苦您通过一下，对了，哥这边微信提示您一下，不要去相信那些要收钱的平台和那些要收手续费，服务费的都是骗子哈。我们全程办你下来不收任何费用的哈哥，您通过完了没有嘛，别哥你没通过呀。对呀，你你的微信名字叫做*吗？哥，你没通过啊，我看到了，看到了，现在通过了，然后您这边*和京东买家还有没有额度嘛？哥花呗和京东白家还有没没有额度，有额度，就辛苦提供一下这三个的截图嘛。芝麻信用分的截图花呗，京东白家可用额度的截图，这边给您上传系统申请平台最低利息啊，哥有没有额度都不影响的哈，反正全程都不收任何费用的哈。哥芝麻分和*，京东买条的这三个截图发给我，只给您上传系统就可以了。*，那就*和金花花呗和芝麻信用分就可以了。好的，哥，这边电话就先不打扰您了。微信上跟您说哟好的好的，祝你生活愉快，哥，再见。,涉诈,手机租赁套路贷诈骗
2026062714105181465403,left:喂，你好，我这边是证券投资顾问，您之前关注过我们的股票交流群，现在我们老师组建了一个新群，带大家做短线和波段，每天都有涨停票推荐。您打开微信搜索我们服务号"聚财汇投顾"，点击关注后领取免费诊股服务，然后我们客服会邀请您进内部核心群。老师今天刚布局了一支低位标的，券商研报刚出，预计下周有大动作，现在进群还能跟上。进群后我们会提供每日研报、盘中实时解盘、盘后策略总结等VIP服务，全部免费，不收取任何费用。您只需要关注服务号、添加老师微信就可以领取。打开微信，右上角点放大镜搜索"聚财汇投顾"，关注后联系客服说邀请码888，老师会亲自对接您，领取服务后记得置顶和取消免打扰，确保能第一时间收到消息。,涉诈,证券投资类
2026062510250952742058,left:喂，你好，我们是某网贷平台的法务顾问，查到您之前在安逸花、还呗、分期乐这些平台办理过贷款，那些平台违规收取了高利息和担保费、会员费，我们现在可以帮您操作退息退费。比如您借一万块钱，他们收的服务费、担保费加起来可能有三千多，这些费用按照最新监管政策都属于违规收费，完全是可以退回来的。您只需要把您的借款记录和还款账单截图发给我们，我们有专业的法务老师帮您跟平台对接申请退回，成功后我们只收取退回金额的一半作为服务费，如果不成功不收费。您方便的话现在加一下我们法务老师的企业微信，他把操作流程发给您看。,涉诈,网贷平台退息退费
2026062514323298993541,left:喂，你好，是那个*吗？啊，我们是那个营业执照线上税务代办专员，你那个营业执照在经营没有嘛啊，你那个税务零申报没有申报啊，税务零申报啊，税务是税务没申报，是税务零申报，这都是你该申报连续中心要去申报啊，那个税务零申报你就要去申报啊，你要写上要操，可以操作申报，你现在申不申报嘛，要钱，那个需要钱了，你已经那个没完，是申报是需要的。对呀，那个是每个季度都要申报去证明你税务为零呢。,涉诈,个体工商户年报补录收费
2026062500000000000001,left:喂，你好，我是XX物流公司的招聘经理，我看到你投了我们货运司机的岗位。我们这边仓库在重庆多个区都有，路线固定，月收入保底一万五以上。入职的话需要在我们合作的货运平台上注册账号，交一个平台注册费两千八，这笔钱三个月后会全额退还，主要是做一个信用保障。还有就是需要办理一个货运从业资格卡，开卡费一千二，也是一年后退回。我们提供统一车辆，不押车，月结工资，主要跑生鲜和米面粮油配送。你看你什么时候方便过来面试一下？我们在渝北空港那边，到了直接联系我，我发面试地址给你。,涉诈,套路运诈骗
2026062512240449987086,right:喂，你好啊，你好，哪位呃，你报一下手机号码，我查一下幺八零幺三零零吗？幺三零零稍等，您是*先生是吧？呃，您现在是有什么问题分期了？呃，目前的话是给您匹配了一个还借保的这个方案，就是您花二十元购买一个。我们这个超市卡之后就会送给您一个还借保这个名额，这个方案是这样子的。就是您这个钱的话，您去找家人朋友去凑一下这个三千多块钱，然后在app上面还进去之后，它会立即跳出来一个立即借款的一个那个链接，然后您可以再去把这笔钱借出去，还给您朋友就可以了。这个审核通过是立马可以使用的。那个您还完之后的话，它那个额度是百分之百恢复的随环随借啊，这个没办法，您这个呃您说嗯这个方案没办法去进行一个拖延，这是就是现实的，之前也没有这个方案，就是方案。我们这边你适合呃匹配到你了，我们这边可以去帮你进行去去进行一个申请。那可能明天后天可能他就没有了，知道吧？他不说这个方案，每天都会给你留着的，就可能明天有别的别的客户需要给其他的客户了，那那就给其他客户办理了，这个名额就没有了。嗯，你稍等一下。嗯，这个的话可以就是你如果确定需要这个名额这个方案的话，你现在就可以打开那个app把这个名额锁定一下，可以购买一个二十块钱的一个超市卡，然后您还个本金就可以了。我可以帮您把利息给您减免掉，还三千一百零五块三毛五就可以，那您先去想办法吧，好吧。,涉诈,引流第三方平台
2026062515084658594776,left:喂，你好，哎，你好，先生，我这边是安逸华平台的客服，就看到您之前在我们平台有一笔贷款申请时候没有通过，现在给您转接到人工审核了，请问您这边还需要资金周转是吗？嗯，好的，那这边的话跟您核对两个问题啊，就是您这边当前有没有逾期或者恢复的情况呢？嗯，好的，先生，您的年龄是多大？四十二岁，目前还需要一个多少额度来周转呢？嗯，好的，那没问题的，符合我们这个人工审核条件的啊，您今天在我们平台上没有效果的原因。那是因为您近期转映的平台次数太多了，所以在我们的平台被大数据给您拒绝了。那这边我给你讲解一下我们这个利息的情况，你自己听一下好吧。我们利息的话是三厘，就是您借一万一个月是三十块钱利息，然后期数的话是可以给您做到一个最短分三期，最长可以给您分到一个六十期。除此以外的话，我们这次没有任何的手续费以及服务费不会有任何的其他费用的这个，您看你可以接受吗？嗯，好的，可以接受的话，那这边我就把资料给您提交上去了嘛。这边的话需要您添加一下我们的企业微信，稍后我们的放管经理给您办理就可以了。好吧，稍后您就正常的跟他说，您需要一个两万的额度就可以了。好吧。嗯，好的，您知道怎么去添加我们的企业微信吗？先生呃，那这边我跟你讲一下，因为我这边通话有录音导，我要跟你核对清楚的，就是您这边打开微信以后，点击右上角的加号，有一个添加朋友，然后添加朋友，点进去以后，第四行有一个企业微信联系人看见了吧。哎，您点了这个企业微信联系人了没有嘛？我这边给您报一下号码，好吧，就是您打开微信以后，点击右上角的加号，有一个添加朋友添加朋友，点进去以后，第四行有一个企业微信联系人，您这边点到企业微信联系人了吗？先生，我这边给您报一下。嗯，好的，不着急，就是您打开微信以后，点击右上角的加号，有一个添加朋友添加朋友，点进去以后呃，我这边给您报号码，好吧，你点到这个企业微信联系人了，没有吗？先生，呃，我这边给你讲啊，就是您打开微信以后，点击右上角的加号，有一个添加朋友，你看见了吗？添加朋友点进去以后，第四行是不是有一个企业微信联系人，你看见了吧？哎，您点到这个企业微信联系人，我这边给你报号码啊，幺*幺*九。哎，然后您这边搜索一下，叫什么名字呢？我这边给你核对一下。唉，对，是的，然后您把它添加到您的通讯录就可以了。然后您的这个微信昵称叫什么名字呢？先生唯一是吧？嗯，好的好的，那这边的话就先不打扰您了嘛，好吧？嗯，好的的，稍后我们这个经理会问您有没有逾期，您就跟他说没有逾期好吧。然后问您需要的额度是多少？您就跟他说两万额度好吧，唉，好的的，那就打扰您了啊，祝您效果成功再见。,涉诈,引导贷款用户添加第三方微信
2026062511011602938022,left:喂，你好，唉，您好，还呗，给您通过了一笔额度啊，您看需要给您放款吗？啊，您现在您现在大概您当前有资金需要吗？这边是还呗，给您提额降息的那您当前有逾期吗？好的，没有的话是可以稳定下款的那稍后这边会把额度给您对接到您的平台，你领取这个额度以后再登录平台去下款就行了。您看可以吗？那您这个尾号八八七幺的手机号码能加到您的微信，给您对接这笔低利息的额度吗？美女对接好以后，发放到平台，您直接去提现就可以的。您看能加到您吗？是给您对接到平台上面的，是因为我们这边这笔额度给您交利息了，所以是需要加您一个微信，给您对接的，不加您微信，没法给您对接。美女对接好以后发放到平台，您自己去平台提现就可以的。,涉诈,贷款相关
2026062509460012160930,left:喂，我问一哈哎，上午十一点钟之前把本人身份证件再写到开县人民法院。那上来嗯，能到的嘛，没在屋的具体位置是哪里呢？在*是在那边务工吗？还是进居了啊，那你在那个啊流浪啊，哎在那个*那边还有自己亲属没得啊。嗯那这个情况就比较具体了哈。那你在四十八小时之内把这己工作中安排好，找点时间赶过来一趟哈。我想通过那个电话的形式，把案件情况给你讲一下，是那个由大款律师事所提交过来的那个案件。根据卷宗显示，你是在二零一七年的十二月二号通过现金八十那个金融平台有一笔一千元的借款，你自己清楚嘛？嗯，现在是正常的跟的合同，但是没有跟人家正常履行合同以后哈，是没有偿还那个债务金额的。现在起诉方是主张的委拖欠非的侵权的行为的要求，追究你的民事附带刑事责任。所以说喊你过来陪我们确认一点情况哈。因为那个非法拖欠恶于侵占，是一种犯罪行为。正常见了年过后啊，你是需要承担相应的司法责任的，以贷款清偿为由点的话，在民事责任那块部分全部由其到诉刑的拘有管制。然后对方申请了财产保全的名下的所有账户，包括金融，包括微信和支付宝都会被冻结，强制执行划过当时清到的资金*嗯清楚了嘛。那个四十八日是要抓紧时间赶过来的哦，你那个是哪个个情况嘛，你直接接到那个事情，是不是嘛，接不到了，就就转身赶回来哈。对方那个合同原件办的资料都是有的哈。,涉诈,违规催收
